GPA,GMAT,De
2.54,446,notadmit
2.43,425,notadmit
2.2,474,notadmit
2.36,531,notadmit
2.57,542,notadmit
2.35,406,notadmit
2.51,412,notadmit
2.51,458,notadmit
2.36,399,notadmit
2.36,482,notadmit
2.66,420,notadmit
2.68,414,notadmit
2.48,533,notadmit
2.46,509,notadmit
2.63,504,notadmit
2.44,336,notadmit
2.13,408,notadmit
2.41,469,notadmit
2.55,538,notadmit
2.31,505,notadmit
2.41,489,notadmit
2.19,411,notadmit
2.35,321,notadmit
3.15,313,border
3.5,402,border
2.89,485,border
2.8,444,border
3.13,416,border
3.01,471,border
2.79,490,border
2.89,431,border
2.91,446,border
2.75,546,border
2.73,467,border
3.12,463,border
3.08,440,border
3.03,419,border
3,509,border
3.03,438,border
3.05,399,border
2.85,483,border
3.01,453,border
3.03,414,border
3.04,446,border